followers,following,posts,bio_length,profile_pic,is_private,fake
7870,226,163,119,1,0,0
5693,2401,2,53,0,0,0
767,4718,14,1,1,1,0
2044,1024,101,117,0,0,0
1549,3491,254,36,0,0,0
9956,4256,224,96,1,0,0
6140,870,209,102,1,0,0
3716,3199,22,113,0,0,0
4481,1745,234,160,1,1,0
7898,443,130,0,1,1,0
6548,4558,157,127,0,1,0
2293,472,172,102,1,1,0
4837,79,16,155,0,1,0
7758,239,369,144,0,1,0
6793,4652,441,56,1,1,0
7638,589,313,69,0,0,0
7993,1360,479,179,1,1,0
6007,1884,365,43,1,0,0
5542,2316,184,174,1,0,0
9092,4430,390,140,0,0,0
6356,311,422,75,0,0,0
8433,1076,333,157,0,0,0
7380,33,441,84,1,1,0
2385,1841,183,65,1,0,0
4268,4481,142,52,0,1,0
671,248,43,17,1,1,0
163,1134,11,27,1,1,0
8656,4889,7,131,0,0,0
4592,4947,79,41,0,0,0
4795,375,296,125,0,1,0
4798,723,161,116,1,1,0
6036,1913,301,133,1,1,0
2355,4297,215,101,1,1,0
5887,2492,247,136,0,1,0
7961,1942,28,147,0,0,0
5827,4004,271,37,0,1,0
8737,2344,132,195,0,1,0
4719,1331,4,49,1,1,0
593,4588,243,59,0,1,0
4839,337,29,140,1,0,0
7394,1865,116,118,0,1,0
9651,3137,177,98,1,1,0
3493,791,497,93,0,0,0
6164,3611,260,169,1,1,0
2672,3700,234,67,1,0,0
4200,1516,140,152,0,0,0
16,3953,482,158,1,1,1
3191,3908,304,139,0,1,0
392,2673,344,63,1,0,0
8616,2122,49,78,0,0,0
6272,3785,269,188,0,1,0
571,58,107,52,0,1,0
3631,2433,45,25,1,0,0
6172,2062,473,188,1,1,0
9312,1254,81,137,0,0,0
7177,3688,125,139,1,1,0
8433,3748,83,149,0,1,0
3897,4130,289,180,1,0,0
8123,4257,70,20,0,0,0
2279,3029,174,162,0,1,0
8980,2846,315,70,0,0,0
7451,4990,329,81,0,1,0
8906,470,462,154,0,1,0
775,4035,336,59,1,0,0
6869,2899,394,98,1,1,0
2247,1446,353,46,1,1,0
7088,4443,90,193,1,0,0
78,4789,468,142,0,0,1
8080,912,350,23,0,0,0
7099,4242,433,9,0,1,0
3926,1711,248,119,1,0,0
9047,674,131,151,0,1,0
7340,1439,168,87,1,0,0
7083,2734,442,103,1,1,0
6230,3630,59,123,1,1,0
9223,685,368,184,0,0,0
4940,1126,336,33,1,1,0
3271,4216,240,40,1,1,0
3456,2466,189,167,1,0,0
7788,2397,495,10,1,1,0
8599,4137,339,0,1,1,0
7650,3438,280,157,0,1,0
2711,4124,231,170,1,1,0
1668,965,470,81,1,1,0
147,919,462,25,1,1,0
6420,4913,288,52,0,0,0
365,2872,274,124,1,0,0
9866,1508,312,174,0,0,0
4531,1212,14,8,1,1,0
5330,871,40,8,0,0,0
5510,4390,452,128,0,0,0
8754,3254,207,198,0,1,0
8964,863,59,171,1,0,0
6493,3953,364,58,1,0,0
5439,3108,239,183,1,1,0
9765,3055,95,105,1,0,0
6511,3994,277,178,0,0,0
7504,2682,426,124,1,0,0
1246,4690,159,15,1,0,0
3839,613,396,37,0,0,0
8551,1872,421,138,0,0,0
2376,3154,281,152,0,1,0
3009,4560,499,58,0,1,0
9154,3373,208,28,1,0,0
1827,3191,132,167,1,0,0
6979,567,380,7,0,0,0
9805,4133,432,97,0,1,0
9832,244,96,133,1,0,0
8569,20,218,172,0,1,0
4285,393,388,108,0,1,0
6910,3814,484,180,0,0,0
8561,2055,70,107,1,1,0
2196,3515,431,148,1,0,0
3747,2375,273,56,1,1,0
8843,1910,350,75,0,0,0
5978,289,133,112,1,0,0
5607,2558,65,5,0,1,0
769,360,126,190,1,0,0
780,1622,204,123,0,1,0
9908,4314,297,133,0,0,0
6303,4094,116,52,1,1,0
3983,2453,435,131,1,0,0
9503,2015,266,8,0,0,0
8714,2040,281,68,0,0,0
521,2044,148,73,0,1,0
9127,2800,193,110,0,1,0
7569,2970,167,199,0,0,0
5784,831,311,86,1,0,0
4583,1793,373,3,0,0,0
5946,3692,178,185,1,1,0
4941,1791,147,36,1,0,0
6267,2841,464,70,1,0,0
7128,4690,463,5,1,0,0
2461,2154,56,50,0,1,0
685,580,489,98,1,0,0
2160,2853,4,177,1,0,0
7031,2236,13,95,1,1,0
9759,4176,279,141,0,0,0
5341,2155,498,10,1,1,0
38,1344,323,9,1,1,1
4875,345,435,188,1,1,0
1256,1886,303,12,0,1,0
7697,554,215,120,0,1,0
2196,3770,174,161,0,0,0
7165,4397,315,59,1,0,0
301,199,456,178,0,0,0
7527,2940,2,4,0,0,0
6381,3490,374,159,0,0,0
646,306,136,11,1,0,0
9951,3075,465,179,0,0,0
8789,1656,99,140,1,0,0
8853,2692,82,84,1,1,0
4330,1764,279,181,1,0,0
9560,275,131,116,1,0,0
7003,3361,392,121,0,1,0
3537,1401,480,181,0,0,0
4558,4733,0,40,1,1,0
6579,1775,115,47,1,0,0
8474,3381,498,50,1,0,0
9678,4050,418,174,1,1,0
4082,3460,201,177,0,0,0
4183,1880,139,117,0,1,0
8652,3835,145,95,1,1,0
3754,4278,461,75,0,1,0
1724,1844,265,45,0,0,0
1376,3377,201,99,0,1,0
8706,71,401,37,0,1,0
8894,1676,151,91,1,0,0
1653,1295,384,140,0,1,0
2066,1043,221,149,1,1,0
22,2625,78,129,0,0,1
2460,3042,199,92,0,0,0
5926,814,249,76,1,0,0
6251,2194,98,12,0,1,0
9496,3500,465,56,1,1,0
7295,309,488,161,0,0,0
3300,2061,399,146,1,1,0
6279,4227,212,136,0,1,0
8553,1877,142,115,1,0,0
7353,2802,189,94,0,0,0
3727,2486,388,160,1,0,0
6272,4835,300,154,0,1,0
5995,3745,373,172,1,0,0
9476,794,51,129,1,1,0
514,4014,454,78,0,0,0
448,4353,111,56,1,1,0
6019,3407,134,94,1,0,0
5343,2456,410,56,0,1,0
8033,1851,472,143,0,1,0
2520,974,469,106,0,1,0
3081,1047,111,78,1,1,0
1428,4366,12,133,1,1,0
3967,4237,272,13,0,1,0
6445,3789,232,26,1,1,0
9114,4997,43,37,0,0,0
2159,3021,396,146,1,1,0
5132,4369,473,164,0,1,0
2547,4029,72,126,1,1,0
2979,464,260,3,0,1,0
2649,287,230,57,0,1,0
8505,3195,32,136,0,0,0
3083,875,387,112,1,0,0
1037,1992,475,167,1,0,0
3489,2925,409,142,1,1,0
7604,1120,67,3,0,1,0
7544,446,15,51,1,1,0
2634,2832,484,145,1,0,0
3983,3568,149,180,0,0,0
1778,2896,291,186,0,0,0
7902,721,101,98,0,1,0
5110,2163,185,181,0,1,0
5189,2582,438,168,1,1,0
7378,1351,418,187,0,1,0
1124,3980,24,92,1,0,0
697,4502,71,116,0,0,0
2179,3384,80,3,1,0,0
9596,1725,60,84,0,0,0
5251,693,17,166,0,0,0
9235,3413,241,6,0,1,0
1929,494,57,124,0,0,0
1013,947,331,150,0,1,0
226,22,376,84,1,1,0
7321,1128,56,62,1,0,0
1828,557,96,192,1,0,0
7909,1616,214,122,1,1,0
5588,3730,318,168,1,1,0
2023,1656,11,88,0,1,0
4966,4173,10,94,0,1,0
5891,806,396,118,1,0,0
1080,3312,162,43,1,1,0
5036,4863,282,101,1,0,0
2563,453,216,44,1,0,0
3292,2975,359,196,1,0,0
3586,2324,322,116,0,0,0
4431,1447,240,50,1,1,0
6841,2561,344,64,0,1,0
6643,2511,44,53,1,0,0
3959,2871,457,183,0,1,0
161,362,80,71,1,0,0
593,3454,254,119,1,0,0
3390,2798,66,167,0,1,0
5997,4620,492,185,0,1,0
6354,3453,405,142,0,1,0
663,3255,101,18,1,1,0
9324,1217,461,9,1,0,0
541,1485,90,15,1,0,0
5433,2103,41,170,1,0,0
5093,2536,275,158,0,1,0
867,1855,303,107,0,1,0
8623,4817,273,15,0,0,0
5469,1207,383,79,0,1,0
6256,1448,76,27,0,0,0
9398,1507,233,189,0,0,0
1169,1003,453,147,0,0,0
830,925,201,162,1,1,0
1651,4951,484,186,1,1,0
1136,83,220,8,0,0,0
2810,3742,261,103,0,1,0
8667,3927,38,137,1,1,0
9518,1542,10,44,0,1,0
1019,985,111,108,1,0,0
5237,4231,408,142,1,1,0
1283,908,107,29,0,1,0
659,2908,491,47,1,1,0
2010,4685,93,167,1,0,0
8590,2737,310,90,1,0,0
1733,2586,83,90,0,0,0
2125,1143,57,73,0,1,0
2171,1331,292,43,1,0,0
8266,3348,15,173,0,1,0
3471,1553,478,133,1,0,0
9028,2342,476,116,1,1,0
5624,1806,325,23,0,0,0
8691,2100,92,6,1,0,0
8329,805,479,5,1,1,0
2097,4147,456,117,1,0,0
5068,2775,164,160,1,1,0
6397,71,436,84,1,1,0
2757,27,214,109,1,1,0
3920,468,143,165,1,1,0
8186,3983,273,171,0,1,0
1900,763,402,144,0,1,0
2610,1424,427,30,1,0,0
6900,2248,385,164,0,0,0
1449,3832,441,138,1,0,0
8738,4915,137,132,1,0,0
5017,4060,203,63,1,0,0
7999,4070,301,75,1,0,0
6052,1675,209,130,0,1,0
2096,559,18,55,1,1,0
8895,4474,293,62,1,1,0
6404,3831,292,104,0,0,0
9817,1918,474,37,0,1,0
3331,78,367,53,0,1,0
7462,4929,461,129,0,1,0
5105,3647,300,1,0,1,0
2978,1031,372,139,0,0,0
2839,2072,161,39,1,1,0
3384,4545,129,1,1,1,0
685,1484,43,104,0,1,0
7531,2245,352,124,0,0,0
4283,1550,82,79,1,0,0
7736,4785,379,184,0,1,0
7710,4682,123,46,0,1,0
1619,1829,26,163,0,0,0
6868,3751,303,131,1,0,0
1431,4722,349,151,0,1,0
9067,2031,6,90,1,0,0
4713,4459,410,100,1,0,0
9557,3856,340,189,1,0,0
9435,2182,198,129,0,1,0
4998,4469,111,14,0,0,0
162,2094,88,48,1,0,0
1974,3903,127,111,1,1,0
3291,3032,229,34,0,1,0
8461,1548,17,115,1,1,0
631,367,288,93,0,0,0
905,64,160,174,1,0,0
2014,3299,351,23,0,1,0
9833,4849,377,59,0,1,0
7896,2035,280,76,1,1,0
204,2863,397,47,1,1,0
581,1876,421,150,0,1,0
5675,4851,165,139,1,0,0
9032,2228,259,40,1,0,0
5347,596,363,156,1,1,0
9911,3606,189,197,0,0,0
2643,2674,337,178,1,1,0
8017,3889,265,127,1,0,0
2297,3506,290,150,1,0,0
874,1834,354,30,1,1,0
5560,1395,359,148,0,1,0
689,1586,278,23,1,1,0
4000,111,216,199,0,1,0
9614,452,320,8,0,0,0
671,2803,337,149,1,0,0
7927,2631,206,131,1,1,0
1171,2186,152,76,0,0,0
5591,4348,479,130,1,1,0
9135,2004,180,119,1,1,0
6342,1459,211,155,0,1,0
1449,1942,272,89,1,1,0
2539,3493,440,116,1,1,0
3959,1857,202,109,1,0,0
6285,61,204,120,0,0,0
5432,1494,472,97,1,0,0
4260,1180,403,14,0,1,0
2361,4901,383,135,0,1,0
6164,2788,152,175,0,0,0
3670,1875,169,51,1,0,0
1753,2208,428,54,1,1,0
8100,4636,240,36,0,0,0
1938,4721,286,131,0,1,0
8562,105,244,54,1,1,0
5976,1154,320,11,1,1,0
6588,3428,435,146,0,0,0
8616,4087,79,184,1,1,0
6304,1708,495,36,0,1,0
7345,2823,91,6,0,0,0
7875,3925,148,54,1,1,0
9086,1908,29,27,1,1,0
6633,2049,122,36,1,0,0
597,4464,386,188,0,0,0
3062,1274,481,74,1,1,0
2336,945,325,113,1,0,0
9879,3904,426,166,0,0,0
572,2227,28,105,0,1,0
7521,3796,258,150,1,1,0
6171,292,185,179,1,1,0
7097,4679,416,109,0,1,0
2090,2222,74,83,0,1,0
6566,3973,44,10,1,1,0
4624,2491,68,65,1,0,0
1633,2475,497,12,0,1,0
1517,4860,415,168,1,0,0
3648,3729,366,176,0,0,0
1537,427,209,14,0,1,0
3137,2972,238,55,1,0,0
6985,106,339,181,1,1,0
97,3619,307,158,0,0,1
3750,4754,191,188,0,0,0
8535,3333,371,185,0,0,0
8174,3992,102,187,1,0,0
8103,1225,240,52,0,0,0
5413,4004,252,60,0,0,0
4666,4250,423,127,0,1,0
610,3368,219,41,1,0,0
1727,895,396,28,0,1,0
1854,3905,473,154,1,1,0
5055,1620,335,43,1,0,0
2324,3863,216,132,0,0,0
9369,2292,201,179,0,0,0
9283,1385,28,112,0,1,0
5774,3899,493,105,1,0,0
6519,3592,446,180,0,1,0
1749,2433,485,179,1,0,0
781,2806,211,37,1,0,0
7548,3383,153,171,1,1,0
6823,1301,479,180,1,0,0
2105,758,230,114,1,1,0
3867,746,101,129,1,0,0
7193,592,314,108,0,0,0
4976,2886,176,181,0,0,0
2113,4111,180,83,1,0,0
5879,1068,471,162,1,0,0
3970,3307,414,45,0,1,0
9259,702,231,199,0,1,0
7264,4708,11,91,0,1,0
1577,104,185,104,0,1,0
9203,1497,248,182,1,1,0
2274,3833,419,71,0,0,0
4869,395,265,138,1,0,0
6744,3517,389,28,1,0,0
2426,2653,134,196,0,0,0
5546,3291,244,190,0,0,0
6852,2010,30,46,1,1,0
2551,3881,346,110,1,1,0
6411,4946,455,6,1,1,0
7,1988,258,116,1,1,1
8087,4537,103,63,0,1,0
2555,1668,430,81,0,0,0
475,4968,381,63,0,0,0
5416,4762,468,91,0,0,0
8676,1051,0,11,0,0,0
7239,2841,428,11,1,1,0
6710,4723,437,35,1,1,0
5000,3584,433,28,0,0,0
4654,347,206,138,0,0,0
8078,1263,134,180,1,0,0
6063,4665,446,197,1,0,0
2285,2742,270,84,0,0,0
5223,2073,88,73,0,0,0
6971,3148,194,46,1,1,0
3525,1351,413,160,0,1,0
2822,2821,121,80,0,1,0
4943,3827,461,194,1,1,0
6530,669,115,120,1,0,0
258,4813,195,42,1,0,0
282,2646,35,145,0,0,0
1898,266,66,73,1,0,0
4135,1438,132,52,0,1,0
6629,2693,280,38,1,0,0
3200,1022,478,106,0,0,0
5110,2037,10,199,0,1,0
7167,564,455,161,1,0,0
612,1059,217,36,0,1,0
687,1424,321,168,0,0,0
3690,4123,155,96,1,1,0
8804,219,239,48,0,1,0
2307,405,59,127,1,0,0
7133,1637,137,9,0,0,0
6509,2318,49,39,1,1,0
9973,1759,166,145,1,0,0
5906,1674,164,152,0,1,0
2591,791,318,105,1,0,0
7183,3582,188,40,1,1,0
5248,1309,486,163,0,0,0
8766,3833,468,1,1,1,0
5108,4929,91,176,1,1,0
3604,4412,293,194,1,0,0
669,1330,375,52,1,0,0
4364,4446,288,146,0,1,0
7329,510,74,25,1,1,0
1283,2572,44,53,1,1,0
923,3929,427,50,1,0,0
1125,491,384,152,0,1,0
1529,1617,52,113,0,1,0
9786,2056,174,16,1,0,0
8438,1520,160,119,1,1,0
3711,1583,66,188,0,0,0
8004,1575,473,45,1,1,0
9752,3946,398,54,1,0,0
6274,1761,360,49,1,0,0
3864,1991,269,74,1,0,0
7833,3179,406,10,0,0,0
6788,3326,123,139,0,0,0
226,1046,181,167,0,0,0
264,2892,375,47,0,1,0
9587,2613,391,120,0,0,0
645,3892,181,55,1,1,0
7544,4144,35,7,0,0,0
5569,461,211,13,1,0,0
2990,4431,383,113,0,1,0
2504,1381,435,183,1,0,0
9346,1145,133,53,0,1,0
587,3515,352,16,0,1,0
9177,4454,411,172,1,1,0
4079,192,177,132,1,0,0
3348,3534,165,130,1,1,0
6299,755,413,8,0,1,0
3831,1684,493,121,0,1,0
9433,2525,490,113,1,0,0
8381,827,336,19,0,0,0
9172,889,328,82,1,0,0
9890,4748,475,20,0,0,0
1715,2455,437,32,1,0,0
6450,2333,326,132,1,1,0
5433,4946,45,151,0,1,0
1098,110,155,190,1,1,0
7096,4715,400,25,0,1,0
2326,792,487,107,0,0,0
9087,4683,431,88,0,0,0
6416,2643,427,91,1,0,0
6980,3414,235,32,1,0,0
6763,1309,315,17,1,1,0
1674,296,59,17,0,1,0
7950,1629,4,165,0,1,0
9122,568,452,32,1,0,0
8915,4927,461,26,0,1,0
6049,4705,453,48,0,1,0
1089,4111,390,177,0,0,0
4578,71,180,142,1,0,0
9127,4365,144,107,1,1,0
155,4382,314,179,1,0,0
9262,65,264,67,0,1,0
1958,879,222,98,0,1,0
6344,67,405,18,1,1,0
5779,1216,300,24,1,1,0
6144,3027,456,103,1,1,0
5063,3239,442,75,0,0,0
3830,3480,335,75,1,0,0
9046,507,483,105,1,0,0
8831,3714,481,152,1,1,0
9794,2884,236,32,0,1,0
6659,1125,12,187,1,0,0
441,885,338,36,0,0,0
6040,2841,267,91,1,0,0
5925,3877,419,123,0,1,0
7358,4870,265,42,1,0,0
4628,2525,15,125,1,0,0
6370,925,91,8,0,1,0
9528,4215,247,13,1,0,0
948,1938,18,130,1,0,0
8179,3814,359,68,1,1,0
6115,3362,389,183,1,1,0
459,4583,387,25,0,0,0
7568,3232,413,126,0,1,0
4646,3744,102,52,0,0,0
392,3465,94,40,0,0,0
1787,440,429,81,0,0,0
7374,3611,282,101,0,0,0
1138,461,428,20,0,1,0
4741,611,212,120,0,1,0
7418,3471,36,38,1,1,0
6362,3163,392,150,1,0,0
2454,5,60,185,0,0,0
9658,4776,290,68,0,0,0
3674,3970,361,74,0,1,0
1377,2858,302,156,1,0,0
6701,2606,243,61,0,0,0
2597,98,404,180,0,0,0
141,525,400,44,0,1,0
2659,1180,310,26,0,0,0
4596,1689,343,115,1,0,0
9031,1138,350,161,0,1,0
5661,4491,5,141,1,1,0
6142,4865,376,40,1,0,0
5626,3071,418,105,1,0,0
8787,2927,305,73,0,1,0
8472,2792,164,59,1,1,0
423,4778,12,41,0,1,0
6999,14,24,121,0,0,0
4249,2415,223,178,0,1,0
1750,2685,122,10,0,0,0
4757,2900,128,162,0,1,0
1967,1236,304,146,0,0,0
4088,4100,121,117,0,0,0
4178,3220,34,64,0,1,0
7789,1607,82,188,1,1,0
2946,3563,308,46,0,0,0
9641,3297,435,13,1,1,0
5394,2633,181,66,0,0,0
7880,3890,75,179,1,0,0
5075,4264,103,108,1,1,0
7230,2808,231,159,0,0,0
1531,791,302,9,1,1,0
2990,999,42,123,0,0,0
7155,151,403,16,1,0,0
4493,3063,416,167,0,1,0
9335,4599,92,195,1,0,0
933,2091,143,190,1,0,0
1460,4599,253,142,0,0,0
2723,4082,77,96,1,1,0
285,4026,262,166,0,1,0
264,2977,69,56,0,0,0
6816,842,148,137,1,0,0
1762,4446,291,70,1,0,0
40,3793,213,96,1,1,1
5827,2070,359,16,0,0,0
8259,1659,309,75,0,0,0
987,597,146,16,0,1,0
7804,2513,24,110,0,1,0
7789,4135,322,119,1,0,0
5717,4270,483,143,0,1,0
3198,3603,108,118,0,0,0
5374,1216,180,77,1,1,0
4790,2291,250,2,1,1,0
7183,4931,481,107,1,1,0
2524,3811,202,50,0,1,0
9277,4993,303,113,1,0,0
2479,931,169,93,1,0,0
9885,2138,174,173,0,1,0
5154,4002,346,115,0,0,0
778,2978,169,182,0,0,0
9777,3892,1,104,0,0,0
1492,4595,133,98,1,1,0
660,2918,126,153,0,1,0
1348,2564,45,75,1,0,0
9491,1763,193,158,1,0,0
7851,2170,361,80,0,0,0
7156,335,208,71,0,0,0
2044,1176,295,146,0,1,0
7368,3021,57,195,0,0,0
3516,778,495,142,1,0,0
9250,1185,77,110,0,0,0
9168,3285,201,57,0,0,0
4577,3447,492,77,1,0,0
727,3991,288,157,1,1,0
7468,2470,489,47,1,1,0
342,938,61,55,0,1,0
1447,4899,267,41,1,1,0
6581,4006,125,23,1,1,0
6317,1935,479,109,1,0,0
526,633,48,51,0,1,0
6748,1253,87,170,1,1,0
405,1082,333,33,0,1,0
7986,2143,260,187,1,0,0
9765,1285,178,2,1,0,0
3740,353,68,67,1,0,0
1846,1885,366,138,1,0,0
1478,1818,415,140,1,1,0
771,2520,492,49,1,1,0
5525,4008,432,81,0,1,0
8770,3022,480,18,0,0,0
193,2584,59,43,0,1,0
2007,1547,301,160,1,1,0
1185,4018,451,165,0,0,0
2394,4204,248,2,1,0,0
9984,1368,477,112,0,1,0
9302,3337,168,64,1,1,0
4005,1757,464,162,0,1,0
7429,1517,450,163,1,1,0
2261,4917,268,165,1,1,0
3736,3484,363,38,0,1,0
6716,3685,111,152,1,0,0
4875,3052,99,63,0,0,0
8921,2696,401,103,0,1,0
4378,190,214,12,0,0,0
7815,932,482,67,0,1,0
3451,4237,112,69,1,1,0
7616,3238,96,74,0,0,0
9836,2215,306,0,1,0,0
2800,565,117,199,1,1,0
8333,1134,35,181,1,0,0
5410,743,336,97,0,1,0
1455,672,358,103,1,0,0
6892,2911,289,115,1,1,0
5808,530,395,136,0,0,0
6796,3021,388,163,1,1,0
4796,561,303,112,1,0,0
5093,301,359,102,1,0,0
1325,3767,346,36,1,0,0
4976,4280,123,105,1,1,0
9405,509,39,186,0,0,0
1159,3445,140,107,0,0,0
4650,2203,25,20,0,1,0
4987,2834,141,147,0,1,0
4697,794,351,128,0,0,0
340,2479,394,186,1,0,0
3828,1523,421,27,0,0,0
1968,4856,335,198,1,0,0
703,2194,56,183,1,1,0
5482,2528,149,107,0,0,0
6376,434,366,8,0,1,0
1800,2038,399,192,1,1,0
5463,1706,204,163,1,0,0
4912,68,75,161,0,1,0
4648,1904,465,31,0,0,0
855,3959,284,65,1,1,0
2866,2951,209,99,1,1,0
182,4649,493,152,0,1,0
3112,2713,385,178,0,0,0
5670,3369,437,190,0,1,0
4492,4595,257,172,1,1,0
5823,3727,258,153,1,1,0
1517,2404,476,20,1,1,0
5002,3325,183,81,1,1,0
1356,3546,327,178,0,1,0
3629,2303,10,23,0,0,0
3628,3681,459,110,1,1,0
8210,3221,159,91,1,1,0
6132,4374,259,11,0,0,0
9324,1082,392,138,1,1,0
6588,445,87,154,0,1,0
3311,4931,368,22,0,0,0
6048,4850,183,160,1,0,0
6246,1592,15,91,1,1,0
987,2775,464,165,0,1,0
3321,3816,494,182,0,1,0
4615,3053,243,197,1,1,0
8365,1590,85,169,1,0,0
3741,2231,198,122,1,1,0
3052,1561,9,156,0,0,0
6574,4272,476,33,1,1,0
726,3646,163,124,0,0,0
3760,4942,23,56,0,1,0
5806,3238,63,2,1,0,0
1875,1600,311,5,0,0,0
6993,2056,237,47,1,0,0
4033,4331,461,101,1,0,0
5443,709,461,191,1,0,0
989,2971,344,119,1,1,0
3744,2732,237,12,1,1,0
8611,793,21,35,0,1,0
593,3099,179,69,1,0,0
1774,2855,305,32,0,0,0
935,26,46,104,1,1,0
3808,3267,278,56,1,0,0
331,84,223,54,1,0,0
7922,3101,217,106,1,0,0
2702,1122,498,140,0,0,0
5889,11,474,50,1,1,0
5054,1748,236,91,1,1,0
3868,3109,203,52,1,1,0
4200,1876,338,35,0,0,0
201,2619,18,132,1,1,0
2497,179,179,118,0,0,0
1842,796,161,24,1,1,0
9101,3813,479,80,1,1,0
4658,2024,284,36,1,0,0
7544,3217,60,18,1,1,0
7718,886,84,34,1,0,0
770,2468,34,106,1,1,0
3155,3387,489,161,1,1,0
1628,1519,4,53,0,1,0
386,2432,75,173,1,1,0
6031,4866,252,5,1,1,0
6439,916,6,128,0,1,0
6401,2070,168,198,1,0,0
4008,3976,129,33,1,1,0
2466,1781,472,55,0,1,0
2282,338,137,96,1,0,0
1856,1516,357,25,1,0,0
7980,2870,299,169,0,1,0
1998,3582,325,90,0,1,0
5476,914,90,37,1,0,0
9428,3290,162,153,0,1,0
4669,4570,317,58,0,1,0
9342,1446,457,126,0,1,0
4318,1379,252,23,1,0,0
7064,1483,200,110,1,1,0
7446,2074,19,20,0,0,0
1431,800,228,59,0,1,0
5624,1246,162,89,0,0,0
7461,4959,164,147,0,0,0
1819,2737,231,5,1,1,0
1130,3495,327,194,1,0,0
6563,4834,237,9,1,0,0
2658,3257,119,139,1,1,0
3500,3877,437,96,0,0,0
8566,981,350,149,1,0,0
2120,2476,382,189,0,0,0
4020,2088,368,188,0,0,0
3259,2952,106,79,0,1,0
1823,1011,249,16,0,1,0
1474,3464,335,137,1,1,0
2242,2750,283,139,0,0,0
3243,2126,197,82,0,1,0
6990,4812,415,39,0,0,0
5160,3861,219,150,0,1,0
3134,2591,394,167,1,0,0
2070,1473,425,73,0,1,0
359,2521,150,73,1,0,0
1141,1165,285,49,0,0,0
1635,3322,264,9,1,0,0
4000,609,219,102,0,0,0
3361,2183,215,93,0,1,0
6583,2531,314,131,1,0,0
7835,2861,155,128,1,0,0
6,4650,215,42,1,0,1
3267,1655,334,82,0,1,0
6564,1755,358,132,1,1,0
9783,45,113,103,1,1,0
4928,1259,160,33,0,0,0
2606,4638,302,193,1,0,0
5906,3232,97,23,0,1,0
3273,1451,405,141,0,0,0
7611,2118,156,40,1,1,0
913,2567,161,169,0,0,0
2011,1992,41,12,0,0,0
1442,3123,179,156,0,1,0
5546,2340,302,192,0,0,0
1829,4907,329,173,1,0,0
8767,1488,50,161,1,0,0
6468,1573,251,190,0,1,0
929,4962,428,131,1,0,0
3699,2427,349,27,0,0,0
9655,1766,119,82,1,0,0
1054,3549,74,128,1,0,0
5744,2309,161,163,0,1,0
1900,4675,148,106,0,1,0
9649,2404,122,12,0,1,0
6980,1442,140,113,0,0,0
7069,4793,181,105,1,1,0
9591,1976,408,4,0,1,0
3415,3973,377,96,1,0,0
442,2490,276,13,1,0,0
6218,725,256,79,0,0,0
4652,3803,441,119,1,1,0
7939,4381,324,159,0,0,0
7833,3827,244,177,0,1,0
9370,4665,85,154,1,0,0
7597,3619,70,34,0,1,0
4458,2887,268,2,0,0,0
6591,497,492,3,0,0,0
9449,3976,179,134,1,1,0
2309,704,278,130,1,0,0
6268,4657,148,80,0,1,0
910,4127,5,110,0,0,0
4340,3681,147,58,1,1,0
4009,4138,331,73,1,1,0
6628,1916,167,128,0,0,0
2169,1374,8,155,1,0,0
2172,1845,177,58,0,0,0
5668,4654,283,117,0,1,0
6313,1436,394,180,0,1,0
8315,3090,115,137,1,1,0
8036,1370,95,198,1,1,0
6789,1928,330,102,1,1,0
785,1636,343,130,0,1,0
6139,91,55,134,1,1,0
6344,1843,206,8,1,0,0
2416,184,104,98,0,1,0
8988,4823,34,196,1,0,0
4154,1571,208,140,0,1,0
5619,831,280,167,0,1,0
1936,4440,368,113,1,1,0
3807,2125,354,61,1,0,0
7151,4262,146,61,0,1,0
9493,263,488,9,1,1,0
3236,1286,286,86,1,1,0
2352,1529,80,10,1,0,0
1932,1808,49,61,0,0,0
8556,1877,86,76,0,1,0
4916,1749,190,103,1,1,0
5498,1909,302,55,0,1,0
946,2623,0,109,1,0,0
9569,1197,380,48,1,1,0
1439,2478,441,15,1,1,0
7730,4863,137,72,1,1,0
4857,2510,135,115,0,0,0
340,100,361,92,1,1,0
382,3087,380,136,0,1,0
9748,1919,153,32,0,0,0
8491,2291,161,87,1,1,0
138,3320,18,162,1,1,0
358,104,461,38,0,1,0
4931,693,327,113,1,0,0
9714,3240,242,76,1,0,0
3456,3491,128,86,0,1,0
1627,3392,175,152,0,0,0
9495,4913,408,113,0,1,0
6626,2268,279,55,1,1,0
5004,3783,430,175,1,0,0
9326,3512,83,137,0,0,0
6652,889,375,40,0,0,0
6416,789,221,103,1,1,0
3170,4648,324,98,0,1,0
3835,4939,450,58,0,1,0
8017,658,415,155,1,1,0
2151,1018,144,121,0,0,0
9429,1953,444,119,1,1,0
6905,1190,105,40,0,0,0
2834,3706,324,65,1,1,0
9190,3657,10,178,1,1,0
2567,4846,165,61,0,0,0
1307,2296,195,157,0,0,0
8848,774,230,39,0,1,0
2660,2811,146,39,1,0,0
3730,1380,358,196,0,1,0
6207,3182,237,101,1,1,0
3162,4787,496,189,0,1,0
1140,4814,470,14,1,1,0
8458,4329,400,123,0,0,0
1708,3097,12,130,1,0,0
3630,1404,218,23,1,0,0
3211,3801,256,168,1,0,0
6538,1369,1,190,1,1,0
9702,2064,209,47,1,1,0
475,2292,483,188,1,0,0
